time,open,high,low,close,volume,trades
2026-05-11T00:00:00Z,320.68,325.27,313.07,318.1,11550.2322,0
2026-05-11T04:00:00Z,318.12,323.75,316.68,319.67,9518.0778,0
2026-05-11T08:00:00Z,319.54,327.15,317.01,322.35,11808.8597,0
2026-05-11T12:00:00Z,322.37,328.0,316.74,324.32,13699.9177,0
2026-05-11T16:00:00Z,324.39,328.0,319.25,326.29,13411.9436,0
2026-05-11T20:00:00Z,326.24,328.87,318.61,320.69,12316.584,0
2026-05-12T00:00:00Z,320.71,321.47,316.05,317.35,10513.2369,0
2026-05-12T04:00:00Z,317.35,323.06,316.53,319.68,9718.0906,0
2026-05-12T08:00:00Z,319.68,320.17,310.0,311.69,13849.9497,0
2026-05-12T12:00:00Z,311.65,314.23,305.53,306.42,15292.7938,0
2026-05-12T16:00:00Z,306.48,310.02,304.04,309.74,10870.1234,0
2026-05-12T20:00:00Z,309.75,312.7,308.5,309.48,11358.6812,0
2026-05-13T00:00:00Z,309.48,314.07,309.15,312.93,10699.6195,0
2026-05-13T04:00:00Z,312.95,313.07,303.34,305.9,12731.9055,0
2026-05-13T08:00:00Z,305.92,308.36,302.3,303.44,15312.5923,0
2026-05-13T12:00:00Z,303.43,304.29,290.7,291.32,21133.89,0
2026-05-13T16:00:00Z,291.29,295.6,291.23,293.39,17922.7257,0
2026-05-13T20:00:00Z,293.44,297.58,293.2,294.86,17408.872,0
2026-05-14T00:00:00Z,294.84,298.32,292.4,293.36,18445.8164,0
2026-05-14T04:00:00Z,293.42,296.7,292.87,295.72,15512.851,0
2026-05-14T08:00:00Z,295.78,298.57,294.36,296.3,15364.1479,0
2026-05-14T12:00:00Z,296.28,307.48,296.06,305.82,15428.0704,0
2026-05-14T16:00:00Z,305.67,308.94,304.03,305.36,17492.328,0
2026-05-14T20:00:00Z,305.63,309.36,302.55,304.77,12047.0983,0
2026-05-15T00:00:00Z,304.77,308.48,303.1,304.44,15466.1345,0
2026-05-15T04:00:00Z,304.43,306.3,299.74,303.18,14977.65,0
2026-05-15T08:00:00Z,303.28,303.33,298.47,300.34,11472.3249,0
2026-05-15T12:00:00Z,300.37,300.57,285.57,286.44,18617.9161,0
2026-05-15T16:00:00Z,286.47,289.87,284.55,287.55,16442.5818,0
2026-05-15T20:00:00Z,287.48,288.03,284.53,285.4,16395.9819,0
2026-05-16T00:00:00Z,285.35,286.54,281.34,282.72,15519.8771,0
2026-05-16T04:00:00Z,282.58,282.99,268.0,271.39,17901.1113,0
2026-05-16T08:00:00Z,271.27,274.53,269.69,272.12,18426.0835,0
2026-05-16T12:00:00Z,272.12,274.25,270.6,273.49,17086.4038,0
2026-05-16T16:00:00Z,273.49,276.67,273.0,275.86,15689.0847,0
2026-05-16T20:00:00Z,275.92,276.07,273.04,273.72,16010.2292,0
2026-05-17T00:00:00Z,273.75,274.2,266.07,268.3,16672.9053,0
2026-05-17T04:00:00Z,268.36,274.75,267.87,272.5,17830.514,0
2026-05-17T08:00:00Z,272.45,274.37,269.13,274.0,17424.3435,0
2026-05-17T12:00:00Z,274.0,275.21,269.89,271.25,17571.0893,0
2026-05-17T16:00:00Z,271.32,271.82,267.78,269.51,18530.2001,0
2026-05-17T20:00:00Z,269.49,269.99,257.77,263.22,21412.2454,0
2026-05-18T00:00:00Z,263.05,264.66,258.64,260.54,18629.4425,0
2026-05-18T04:00:00Z,260.66,261.26,256.25,256.27,19945.5021,0
2026-05-18T08:00:00Z,256.38,260.41,255.99,258.47,15666.8688,0
2026-05-18T12:00:00Z,258.44,261.97,255.52,257.67,17365.5842,0
2026-05-18T16:00:00Z,257.73,259.56,254.32,258.94,12873.7651,0
2026-05-18T20:00:00Z,259.07,265.01,258.91,261.61,12169.219,0
2026-05-19T00:00:00Z,261.68,264.2,260.11,261.87,11908.0024,0
2026-05-19T04:00:00Z,261.89,264.7,260.16,263.6,10263.8993,0
2026-05-19T08:00:00Z,263.66,263.77,257.61,258.38,12768.5641,0
2026-05-19T12:00:00Z,258.39,261.5,255.32,257.39,13517.3899,0
2026-05-19T16:00:00Z,257.44,259.92,256.07,258.28,9897.9586,0
2026-05-19T20:00:00Z,258.38,260.26,256.6,257.24,11034.0255,0
2026-05-20T00:00:00Z,257.22,258.47,255.73,257.22,10663.8697,0
2026-05-20T04:00:00Z,257.36,262.99,256.24,261.11,10942.4419,0
2026-05-20T08:00:00Z,261.26,264.28,261.04,262.44,11133.1841,0
2026-05-20T12:00:00Z,262.48,274.8,262.1,274.2,16574.696,0
2026-05-20T16:00:00Z,274.2,276.59,268.26,274.87,16787.0909,0
2026-05-20T20:00:00Z,274.87,275.97,269.94,272.34,15784.6862,0
2026-05-21T00:00:00Z,272.28,278.2,271.62,277.82,13070.4434,0
2026-05-21T04:00:00Z,277.82,283.73,276.28,282.98,16585.1114,0
2026-05-21T08:00:00Z,282.95,289.48,278.45,279.69,17006.4955,0
2026-05-21T12:00:00Z,279.78,281.27,274.54,278.03,17449.6829,0
2026-05-21T16:00:00Z,278.13,287.94,277.22,282.92,17338.5237,0
2026-05-21T20:00:00Z,282.95,285.36,279.33,279.87,15415.4706,0
2026-05-22T00:00:00Z,279.85,281.51,276.18,280.41,14270.3714,0
2026-05-22T04:00:00Z,280.38,284.83,279.35,283.23,13932.2902,0
2026-05-22T08:00:00Z,283.22,292.15,280.66,291.91,13453.9222,0
2026-05-22T12:00:00Z,291.89,293.33,279.76,281.38,15743.6985,0
2026-05-22T16:00:00Z,281.1,285.4,269.53,272.15,17159.1901,0
2026-05-22T20:00:00Z,272.07,274.75,262.91,265.1,17192.8867,0
2026-05-23T00:00:00Z,265.26,266.7,262.43,266.14,13729.853,0
2026-05-23T04:00:00Z,266.17,266.52,253.17,257.74,13963.5688,0
2026-05-23T08:00:00Z,257.6,261.62,256.17,260.85,13024.9255,0
2026-05-23T12:00:00Z,260.83,272.78,258.68,271.61,16545.151,0
2026-05-23T16:00:00Z,271.64,276.74,267.57,276.17,15427.5663,0
2026-05-23T20:00:00Z,276.18,288.28,275.17,279.54,20353.2774,0
2026-05-24T00:00:00Z,279.7,281.97,277.5,278.8,14282.2233,0
2026-05-24T04:00:00Z,278.92,281.98,276.08,279.9,13927.6752,0
2026-05-24T08:00:00Z,279.91,282.96,278.2,280.45,14268.035,0
2026-05-24T12:00:00Z,280.57,280.63,270.24,275.63,15916.0193,0
2026-05-24T16:00:00Z,275.68,279.1,274.34,274.97,12664.5459,0
2026-05-24T20:00:00Z,275.28,276.16,268.38,274.86,15135.7488,0
2026-05-25T00:00:00Z,274.94,275.82,271.18,271.23,12938.7812,0
2026-05-25T04:00:00Z,271.21,278.4,271.17,276.59,10978.2254,0
2026-05-25T08:00:00Z,276.5,280.73,275.93,278.06,11818.9825,0
2026-05-25T12:00:00Z,278.19,280.71,276.47,278.5,13682.7775,0
2026-05-25T16:00:00Z,278.57,285.9,276.0,283.13,12385.2739,0
2026-05-25T20:00:00Z,283.14,286.01,278.27,279.56,17874.1762,0
2026-05-26T00:00:00Z,279.75,281.4,273.83,277.2,18632.766,0
2026-05-26T04:00:00Z,277.16,288.93,276.92,281.58,20372.9358,0
2026-05-26T08:00:00Z,281.63,290.71,281.33,287.45,21244.559,0
2026-05-26T12:00:00Z,287.36,291.58,281.44,285.79,21076.183,0
2026-05-26T16:00:00Z,285.74,289.84,279.04,281.55,20615.896,0
2026-05-26T20:00:00Z,281.67,282.46,277.97,278.31,14976.1601,0
2026-05-27T00:00:00Z,278.45,286.7,274.17,274.68,16822.8526,0
2026-05-27T04:00:00Z,274.72,277.23,270.57,275.9,15632.0153,0
2026-05-27T08:00:00Z,275.79,278.42,273.3,276.85,13181.8847,0
2026-05-27T12:00:00Z,276.96,281.36,271.67,278.07,17432.2373,0
2026-05-27T16:00:00Z,278.09,279.79,267.6,273.48,16632.0324,0
2026-05-27T20:00:00Z,273.49,274.79,265.18,266.78,16056.9703,0
2026-05-28T00:00:00Z,266.88,267.52,258.18,258.83,16850.80874425,0
2026-05-28T04:00:00Z,258.86,260.96,255.01,259.94,16495.689,0
2026-05-28T08:00:00Z,260.02,263.03,258.13,258.13,15567.1512,0
2026-05-28T12:00:00Z,258.12,261.38,253.77,256.16,20280.96,0
2026-05-28T16:00:00Z,256.07,264.43,254.35,262.8,17151.6592,0
2026-05-28T20:00:00Z,262.82,264.88,259.25,261.17,15013.6857,0
2026-05-29T00:00:00Z,261.19,263.51,256.25,256.93,15648.572,0
2026-05-29T04:00:00Z,257.0,261.06,253.77,258.43,13845.2087,0
2026-05-29T08:00:00Z,258.42,260.18,254.54,255.98,12170.8888,0
2026-05-29T12:00:00Z,255.91,260.51,246.55,258.34,21953.6979,0
2026-05-29T16:00:00Z,258.4,259.9,247.41,249.46,20359.4289,0
2026-05-29T20:00:00Z,249.35,251.37,245.73,250.39,18451.5739,0
